CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
CSC3202010-3,42.26,3,2010,CSC320,30,12.259999999999998,12.259999999999998,0.4086666666666666
CSC3202010-1,22.95,1,2010,CSC320,20,2.9499999999999993,2.9499999999999993,0.14749999999999996
CSC3202010-2,28.36,2,2010,CSC320,36,-7.640000000000001,7.640000000000001,0.21222222222222223
CSC3202011-3,32.77,3,2011,CSC320,25,7.770000000000003,7.770000000000003,0.31080000000000013
CSC3202011-1,21.98,1,2011,CSC320,19,2.9800000000000004,2.9800000000000004,0.15684210526315792
CSC3202011-2,34.97,2,2011,CSC320,41,-6.030000000000001,6.030000000000001,0.14707317073170734
CSC3202012-3,30.78,3,2012,CSC320,26,4.780000000000001,4.780000000000001,0.18384615384615388
CSC3202012-1,20.35,1,2012,CSC320,31,-10.649999999999999,10.649999999999999,0.34354838709677415
CSC3202012-2,39.2,2,2012,CSC320,45,-5.799999999999997,5.799999999999997,0.12888888888888883
CSC3202013-3,36.42,3,2013,CSC320,39,-2.5799999999999983,2.5799999999999983,0.0661538461538461
CSC3202013-1,33.7,1,2013,CSC320,33,0.7000000000000028,0.7000000000000028,0.021212121212121297
CSC3202013-2,45.11,2,2013,CSC320,44,1.1099999999999994,1.1099999999999994,0.025227272727272713
CSC3202014-3,37.46,3,2014,CSC320,49,-11.54,11.54,0.23551020408163265
CSC3202014-1,33.23,1,2014,CSC320,55,-21.770000000000003,21.770000000000003,0.3958181818181819
CSC3202014-2,43.56,2,2014,CSC320,32,11.560000000000002,11.560000000000002,0.36125000000000007
CSC3202015-3,43.63,3,2015,CSC320,59,-15.369999999999997,15.369999999999997,0.26050847457627113
CSC3202015-1,46.51,1,2015,CSC320,42,4.509999999999998,4.509999999999998,0.10738095238095233
CSC3202016-1,42.47,1,2016,CSC320,50,-7.530000000000001,7.530000000000001,0.1506
CSC3202016-2,48.97,2,2016,CSC320,78,-29.03,29.03,0.3721794871794872
CSC3202017-3,79.71,3,2017,CSC320,112,-32.290000000000006,32.290000000000006,0.2883035714285715
CSC3202017-1,50.03,1,2017,CSC320,55,-4.969999999999999,4.969999999999999,0.09036363636363634
CSC3202019-3,97.53,3,2019,CSC320,106,-8.469999999999999,8.469999999999999,0.07990566037735848
CSC3202019-1,53.49,1,2019,CSC320,123,-69.50999999999999,69.50999999999999,0.5651219512195121
CSC3202020-1,104.04,1,2020,CSC320,89,15.040000000000006,15.040000000000006,0.1689887640449439
CSC3202020-2,108.25,2,2020,CSC320,86,22.25,22.25,0.25872093023255816
CSC3202021-3,102.07,3,2021,CSC320,85,17.069999999999993,17.069999999999993,0.20082352941176462
CSC3202022-3,96.86,3,2022,CSC320,177,-80.14,80.14,0.4527683615819209
CSC3202022-1,92.01,1,2022,CSC320,138,-45.989999999999995,45.989999999999995,0.33326086956521733
