CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
CSC3552010-3,50.15,3,2010,CSC355,37,13.149999999999999,13.149999999999999,0.3554054054054054
CSC3552010-2,31.73,2,2010,CSC355,43,-11.27,11.27,0.26209302325581396
CSC3552011-3,37.45,3,2011,CSC355,53,-15.549999999999997,15.549999999999997,0.2933962264150943
CSC3552011-2,38.71,2,2011,CSC355,48,-9.29,9.29,0.19354166666666664
CSC3552012-3,47.81,3,2012,CSC355,53,-5.189999999999998,5.189999999999998,0.09792452830188675
CSC3552012-2,46.44,2,2012,CSC355,65,-18.560000000000002,18.560000000000002,0.2855384615384616
CSC3552013-2,62.35,2,2013,CSC355,59,3.3500000000000014,3.3500000000000014,0.05677966101694917
CSC3552014-2,59.19,2,2014,CSC355,58,1.1899999999999977,1.1899999999999977,0.020517241379310304
CSC3552016-2,56.99,2,2016,CSC355,99,-42.01,42.01,0.4243434343434343
CSC3552019-3,87.88,3,2019,CSC355,103,-15.120000000000005,15.120000000000005,0.1467961165048544
CSC3552020-1,79.25,1,2020,CSC355,56,23.25,23.25,0.41517857142857145
CSC3552020-2,111.05,2,2020,CSC355,111,0.04999999999999716,0.04999999999999716,0.00045045045045042487
