CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
CSC3612010-3,32.4,3,2010,CSC361,17,15.399999999999999,15.399999999999999,0.9058823529411764
CSC3612010-2,38.89,2,2010,CSC361,41,-2.1099999999999994,2.1099999999999994,0.051463414634146325
CSC3612011-3,20.11,3,2011,CSC361,18,2.1099999999999994,2.1099999999999994,0.11722222222222219
CSC3612011-2,38.89,2,2011,CSC361,47,-8.11,8.11,0.17255319148936168
CSC3612012-2,44.12,2,2012,CSC361,78,-33.88,33.88,0.4343589743589744
CSC3612013-1,39.81,1,2013,CSC361,54,-14.189999999999998,14.189999999999998,0.2627777777777777
CSC3612013-2,66.53,2,2013,CSC361,49,17.53,17.53,0.35775510204081634
CSC3612014-1,45.07,1,2014,CSC361,51,-5.93,5.93,0.11627450980392157
CSC3612014-2,55.99,2,2014,CSC361,51,4.990000000000002,4.990000000000002,0.097843137254902
CSC3612016-1,44.3,1,2016,CSC361,50,-5.700000000000003,5.700000000000003,0.11400000000000006
CSC3612017-3,86.35,3,2017,CSC361,107,-20.650000000000006,20.650000000000006,0.19299065420560754
CSC3612019-3,94.74,3,2019,CSC361,138,-43.260000000000005,43.260000000000005,0.31347826086956526
CSC3612020-2,125.41,2,2020,CSC361,93,32.41,32.41,0.34849462365591394
CSC3612021-3,125.18,3,2021,CSC361,133,-7.819999999999993,7.819999999999993,0.05879699248120296
CSC3612022-3,135.78,3,2022,CSC361,113,22.78,22.78,0.20159292035398232
