CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
CSC2302010-3,58.85,3,2010,CSC230,45,13.850000000000001,13.850000000000001,0.3077777777777778
CSC2302010-1,21.74,1,2010,CSC230,27,-5.260000000000002,5.260000000000002,0.19481481481481489
CSC2302010-2,61.4,2,2010,CSC230,78,-16.6,16.6,0.21282051282051284
CSC2302011-3,52.53,3,2011,CSC230,61,-8.469999999999999,8.469999999999999,0.13885245901639343
CSC2302011-1,26.97,1,2011,CSC230,28,-1.0300000000000011,1.0300000000000011,0.036785714285714324
CSC2302011-2,69.37,2,2011,CSC230,58,11.370000000000005,11.370000000000005,0.19603448275862076
CSC2302012-3,57.45,3,2012,CSC230,72,-14.549999999999997,14.549999999999997,0.20208333333333328
CSC2302012-1,28.1,1,2012,CSC230,34,-5.899999999999999,5.899999999999999,0.17352941176470585
CSC2302012-2,61.51,2,2012,CSC230,46,15.509999999999998,15.509999999999998,0.3371739130434782
CSC2302013-3,66.23,3,2013,CSC230,83,-16.769999999999996,16.769999999999996,0.2020481927710843
CSC2302013-1,32.37,1,2013,CSC230,29,3.3699999999999974,3.3699999999999974,0.11620689655172405
CSC2302013-2,56.33,2,2013,CSC230,56,0.3299999999999983,0.3299999999999983,0.005892857142857112
CSC2302014-3,76.39,3,2014,CSC230,87,-10.61,10.61,0.12195402298850574
CSC2302014-1,32.58,1,2014,CSC230,42,-9.420000000000002,9.420000000000002,0.22428571428571434
CSC2302014-2,59.18,2,2014,CSC230,101,-41.82,41.82,0.41405940594059404
CSC2302015-3,85.84,3,2015,CSC230,126,-40.16,40.16,0.3187301587301587
CSC2302015-1,42.64,1,2015,CSC230,34,8.64,8.64,0.25411764705882356
CSC2302016-1,46.62,1,2016,CSC230,90,-43.38,43.38,0.48200000000000004
CSC2302016-2,106.77,2,2016,CSC230,162,-55.230000000000004,55.230000000000004,0.34092592592592597
CSC2302017-3,142.95,3,2017,CSC230,88,54.94999999999999,54.94999999999999,0.624431818181818
CSC2302017-1,85.38,1,2017,CSC230,73,12.379999999999995,12.379999999999995,0.16958904109589035
CSC2302019-3,103.62,3,2019,CSC230,140,-36.379999999999995,36.379999999999995,0.25985714285714284
CSC2302019-1,76.99,1,2019,CSC230,53,23.989999999999995,23.989999999999995,0.45264150943396214
CSC2302020-1,63.88,1,2020,CSC230,77,-13.119999999999997,13.119999999999997,0.17038961038961037
CSC2302020-2,131.94,2,2020,CSC230,166,-34.06,34.06,0.20518072289156628
CSC2302021-3,142.71,3,2021,CSC230,134,8.710000000000008,8.710000000000008,0.06500000000000006
CSC2302022-3,137.17,3,2022,CSC230,120,17.169999999999987,17.169999999999987,0.14308333333333323
CSC2302022-1,81.61,1,2022,CSC230,57,24.61,24.61,0.4317543859649123
