CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
CSC3602010-3,50.49,3,2010,CSC360,35,15.490000000000002,15.490000000000002,0.4425714285714286
CSC3602010-1,24.81,1,2010,CSC360,23,1.8099999999999987,1.8099999999999987,0.07869565217391299
CSC3602010-2,41.53,2,2010,CSC360,38,3.530000000000001,3.530000000000001,0.0928947368421053
CSC3602011-3,35.34,3,2011,CSC360,49,-13.659999999999997,13.659999999999997,0.2787755102040816
CSC3602011-1,23.4,1,2011,CSC360,21,2.3999999999999986,2.3999999999999986,0.11428571428571421
CSC3602011-2,38.44,2,2011,CSC360,39,-0.5600000000000023,0.5600000000000023,0.014358974358974418
CSC3602012-3,46.14,3,2012,CSC360,50,-3.8599999999999994,3.8599999999999994,0.07719999999999999
CSC3602012-1,22.02,1,2012,CSC360,41,-18.98,18.98,0.4629268292682927
CSC3602012-2,41.59,2,2012,CSC360,47,-5.409999999999997,5.409999999999997,0.11510638297872333
CSC3602013-3,50.43,3,2013,CSC360,46,4.43,4.43,0.09630434782608695
CSC3602013-1,39.28,1,2013,CSC360,32,7.280000000000001,7.280000000000001,0.22750000000000004
CSC3602013-2,54.21,2,2013,CSC360,55,-0.7899999999999991,0.7899999999999991,0.014363636363636348
CSC3602014-3,48.61,3,2014,CSC360,29,19.61,19.61,0.6762068965517242
CSC3602014-1,35.64,1,2014,CSC360,26,9.64,9.64,0.3707692307692308
CSC3602014-2,52.35,2,2014,CSC360,66,-13.649999999999999,13.649999999999999,0.2068181818181818
CSC3602015-3,38.35,3,2015,CSC360,46,-7.649999999999999,7.649999999999999,0.1663043478260869
CSC3602015-1,35.02,1,2015,CSC360,37,-1.9799999999999969,1.9799999999999969,0.05351351351351343
CSC3602016-1,36.27,1,2016,CSC360,34,2.270000000000003,2.270000000000003,0.06676470588235303
CSC3602016-2,57.89,2,2016,CSC360,88,-30.11,30.11,0.3421590909090909
CSC3602017-3,86.66,3,2017,CSC360,70,16.659999999999997,16.659999999999997,0.23799999999999996
CSC3602017-1,42.37,1,2017,CSC360,47,-4.630000000000003,4.630000000000003,0.09851063829787239
CSC3602019-3,80.86,3,2019,CSC360,165,-84.14,84.14,0.5099393939393939
CSC3602020-1,77.21,1,2020,CSC360,64,13.209999999999994,13.209999999999994,0.2064062499999999
CSC3602020-2,131.78,2,2020,CSC360,142,-10.219999999999999,10.219999999999999,0.07197183098591549
CSC3602021-3,142.29,3,2021,CSC360,154,-11.710000000000008,11.710000000000008,0.07603896103896109
CSC3602022-3,149.98,3,2022,CSC360,112,37.97999999999999,37.97999999999999,0.3391071428571428
CSC3602022-1,68.13,1,2022,CSC360,95,-26.870000000000005,26.870000000000005,0.28284210526315795
