CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
CSC1152010-3,205.54,3,2010,CSC115,329,-123.46000000000001,123.46000000000001,0.37525835866261403
CSC1152010-1,34.83,1,2010,CSC115,48,-13.170000000000002,13.170000000000002,0.27437500000000004
CSC1152010-2,79.21,2,2010,CSC115,61,18.209999999999994,18.209999999999994,0.29852459016393434
CSC1152011-3,280.66,3,2011,CSC115,211,69.66000000000003,69.66000000000003,0.33014218009478685
CSC1152011-1,46.39,1,2011,CSC115,58,-11.61,11.61,0.20017241379310344
CSC1152011-2,80.35,2,2011,CSC115,156,-75.65,75.65,0.4849358974358975
CSC1152012-3,252.07,3,2012,CSC115,200,52.06999999999999,52.06999999999999,0.26034999999999997
CSC1152012-1,59.81,1,2012,CSC115,67,-7.189999999999998,7.189999999999998,0.10731343283582086
CSC1152012-2,142.73,2,2012,CSC115,171,-28.27000000000001,28.27000000000001,0.16532163742690065
CSC1152013-3,212.85,3,2013,CSC115,246,-33.150000000000006,33.150000000000006,0.13475609756097565
CSC1152013-1,66.22,1,2013,CSC115,93,-26.78,26.78,0.28795698924731183
CSC1152013-2,159.56,2,2013,CSC115,69,90.56,90.56,1.3124637681159421
CSC1152014-3,210.04,3,2014,CSC115,302,-91.96000000000001,91.96000000000001,0.3045033112582782
CSC1152014-1,81.05,1,2014,CSC115,101,-19.950000000000003,19.950000000000003,0.19752475247524756
CSC1152014-2,131.12,2,2014,CSC115,106,25.120000000000005,25.120000000000005,0.23698113207547175
CSC1152015-3,261.43,3,2015,CSC115,324,-62.56999999999999,62.56999999999999,0.19311728395061725
CSC1152015-1,97.59,1,2015,CSC115,92,5.590000000000003,5.590000000000003,0.06076086956521743
CSC1152016-1,94.37,1,2016,CSC115,123,-28.629999999999995,28.629999999999995,0.2327642276422764
CSC1152016-2,150.71,2,2016,CSC115,126,24.710000000000008,24.710000000000008,0.19611111111111118
CSC1152017-3,266.42,3,2017,CSC115,386,-119.57999999999998,119.57999999999998,0.3097927461139896
CSC1152017-1,119.43,1,2017,CSC115,75,44.43000000000001,44.43000000000001,0.5924
CSC1152019-3,329.54,3,2019,CSC115,357,-27.45999999999998,27.45999999999998,0.07691876750700274
CSC1152019-1,93.97,1,2019,CSC115,86,7.969999999999999,7.969999999999999,0.09267441860465114
CSC1152020-1,90.26,1,2020,CSC115,132,-41.739999999999995,41.739999999999995,0.31621212121212117
CSC1152020-2,221.94,2,2020,CSC115,156,65.94,65.94,0.4226923076923077
CSC1152021-3,315.35,3,2021,CSC115,312,3.3500000000000227,3.3500000000000227,0.01073717948717956
CSC1152022-3,290.21,3,2022,CSC115,319,-28.79000000000002,28.79000000000002,0.09025078369905963
CSC1152022-1,118.61,1,2022,CSC115,121,-2.3900000000000006,2.3900000000000006,0.019752066115702484
