CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
CSC3702010-3,42.22,3,2010,CSC370,27,15.219999999999999,15.219999999999999,0.5637037037037037
CSC3702010-2,44.94,2,2010,CSC370,49,-4.060000000000002,4.060000000000002,0.08285714285714291
CSC3702011-3,31.46,3,2011,CSC370,53,-21.54,21.54,0.40641509433962264
CSC3702011-2,46.02,2,2011,CSC370,51,-4.979999999999997,4.979999999999997,0.09764705882352935
CSC3702012-3,44.61,3,2012,CSC370,54,-9.39,9.39,0.1738888888888889
CSC3702012-1,22.01,1,2012,CSC370,47,-24.99,24.99,0.5317021276595745
CSC3702012-2,49.81,2,2012,CSC370,50,-0.18999999999999773,0.18999999999999773,0.0037999999999999545
CSC3702013-3,54.08,3,2013,CSC370,60,-5.920000000000002,5.920000000000002,0.0986666666666667
CSC3702013-1,42.92,1,2013,CSC370,23,19.92,19.92,0.8660869565217392
CSC3702013-2,55.85,2,2013,CSC370,56,-0.14999999999999858,0.14999999999999858,0.002678571428571403
CSC3702014-3,56.2,3,2014,CSC370,64,-7.799999999999997,7.799999999999997,0.12187499999999996
CSC3702014-1,30.32,1,2014,CSC370,36,-5.68,5.68,0.15777777777777777
CSC3702014-2,54.95,2,2014,CSC370,40,14.950000000000003,14.950000000000003,0.3737500000000001
CSC3702015-3,54.39,3,2015,CSC370,60,-5.609999999999999,5.609999999999999,0.09349999999999999
CSC3702015-1,37.53,1,2015,CSC370,31,6.530000000000001,6.530000000000001,0.21064516129032262
CSC3702016-1,33.18,1,2016,CSC370,55,-21.82,21.82,0.3967272727272727
CSC3702016-2,49.72,2,2016,CSC370,88,-38.28,38.28,0.435
CSC3702017-3,84.1,3,2017,CSC370,114,-29.900000000000006,29.900000000000006,0.262280701754386
CSC3702017-1,51.72,1,2017,CSC370,58,-6.280000000000001,6.280000000000001,0.10827586206896554
CSC3702019-3,107.28,3,2019,CSC370,146,-38.72,38.72,0.2652054794520548
CSC3702019-1,55.81,1,2019,CSC370,78,-22.189999999999998,22.189999999999998,0.28448717948717944
CSC3702020-1,81.66,1,2020,CSC370,100,-18.340000000000003,18.340000000000003,0.18340000000000004
CSC3702020-2,128.6,2,2020,CSC370,117,11.599999999999994,11.599999999999994,0.0991452991452991
CSC3702021-3,129.61,3,2021,CSC370,142,-12.389999999999986,12.389999999999986,0.08725352112676046
CSC3702022-3,138.81,3,2022,CSC370,146,-7.189999999999998,7.189999999999998,0.04924657534246574
CSC3702022-1,89.07,1,2022,CSC370,104,-14.930000000000007,14.930000000000007,0.14355769230769239
